😀	grinning face	grinning face smile happy smileys & emotion	6.1
😃	grinning face with big eyes	grinning face with big eyes smiley happy joy haha smileys & emotion	6.0
😄	grinning face with smiling eyes	grinning face with smiling eyes smile happy joy laugh pleased smileys & emotion	6.0
😁	beaming face with smiling eyes	beaming face with smiling eyes grin smileys & emotion	6.0
😆	grinning squinting face	grinning squinting face laughing satisfied happy haha smileys & emotion	6.0
😅	grinning face with sweat	grinning face with sweat smile sweat_smile hot smileys & emotion	6.0
🤣	rolling on the floor laughing	rolling on the floor laughing rofl lol smileys & emotion	9.0
😂	face with tears of joy	face with tears of joy smileys & emotion	6.0
🙂	slightly smiling face	slightly smiling face slightly_smiling_face smileys & emotion	7.0
🙃	upside-down face	upside down face upside_down_face smileys & emotion	8.0
🫠	melting face	melting face melting_face sarcasm dread smileys & emotion	14.0
😉	winking face	winking face wink flirt smileys & emotion	6.0
😊	smiling face with smiling eyes	smiling face with eyes blush proud smileys & emotion	6.0
😇	smiling face with halo	smiling face with halo innocent angel smileys & emotion	6.0
🥰	smiling face with hearts	smiling face with hearts three smiling_face_with_three_hearts love smileys & emotion	11.0
😍	smiling face with heart-eyes	smiling face with heart eyes heart_eyes love crush smileys & emotion	6.0
🤩	star-struck	star struck star_struck eyes smileys & emotion	11.0
😘	face blowing a kiss	face blowing a kiss kissing heart kissing_heart flirt smileys & emotion	6.0
😗	kissing face	kissing face smileys & emotion	6.1
☺️	smiling face	smiling face relaxed blush pleased smileys & emotion	0
😚	kissing face with closed eyes	kissing face with closed eyes kissing_closed_eyes smileys & emotion	6.0
😙	kissing face with smiling eyes	kissing face with smiling eyes kissing_smiling_eyes smileys & emotion	6.1
🥲	smiling face with tear	smiling face with tear smiling_face_with_tear smileys & emotion	13.0
😋	face savoring food	face savoring food yum tongue lick smileys & emotion	6.0
😛	face with tongue	face with tongue stuck out stuck_out_tongue smileys & emotion	6.1
😜	winking face with tongue	winking face with tongue stuck out eye stuck_out_tongue_winking_eye prank silly smileys & emotion	6.0
🤪	zany face	zany face zany_face goofy wacky smileys & emotion	11.0
😝	squinting face with tongue	squinting face with tongue stuck out closed eyes stuck_out_tongue_closed_eyes prank smileys & emotion	6.0
🤑	money-mouth face	money mouth face money_mouth_face rich smileys & emotion	8.0
🤗	smiling face with open hands	smiling face with open hands hugs smileys & emotion	8.0
🤭	face with hand over mouth	face with hand over mouth hand_over_mouth quiet whoops smileys & emotion	11.0
🫢	face with open eyes and hand over mouth	face with open eyes and hand over mouth face_with_open_eyes_and_hand_over_mouth gasp shock smileys & emotion	14.0
🫣	face with peeking eye	face with peeking eye face_with_peeking_eye smileys & emotion	14.0
🤫	shushing face	shushing face shushing_face silence quiet smileys & emotion	11.0
🤔	thinking face	thinking face smileys & emotion	8.0
🫡	saluting face	saluting face saluting_face respect smileys & emotion	14.0
🤐	zipper-mouth face	zipper mouth face zipper_mouth_face silence hush smileys & emotion	8.0
